merchant_id,product_name,stock,price,photo_url,description
1,Mount Rainier,3,500000,https://images.unsplash.com/photo-1565395414487-fb0445bd3596?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=668&q=80,"Ascending to 14,410 feet above sea level, Mount Rainier stands as an icon in the Washington landscape. An active volcano, Mount Rainier is the most glaciated peak in the contiguous U.S.A., spawning five major rivers. Subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainier’s lower slopes. Wildlife abounds in the park’s ecosystems. A lifetime of discovery awaits."
2,Fort Vancouver,15,950,https://www.nps.gov/common/uploads/grid_builder/fova/crop16_9/E1BCCCF0-A157-32A2-352205A499D482A2.jpg?width=950&quality=90&mode=crop,"Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community."
3,Lake Roosevelt,47,3895,https://www.nps.gov/common/uploads/grid_builder/laro/crop16_9/A2DE7DC1-1DD8-B71B-0B6321848C7B5621.jpg?width=950&quality=90&mode=crop,"In 1941 the Grand Coulee Dam was built on the Columbia River as part of the Columbia River Basin project, creating a 130-mile long lake. Named for President Franklin D. Roosevelt, Lake Roosevelt National Recreation Area provides opportunities for boating, fishing, swimming, camping, canoeing, hunting and visiting historic Fort Spokane and St. Paul's Mission."
4,North Cascades,1,69383,https://images.unsplash.com/photo-1556046858-0c109614642b?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1350&q=80,"Less than three hours from Seattle, an alpine landscape beckons. Discover communities of life adapted to moisture in the west and recurring fire in the east. Explore jagged peaks crowned by more than 300 glaciers. Listen to cascading waters in forested valleys. Witness a landscape sensitive to the Earth's changing climate. Help steward the ecological heart of the Cascades."
5,Olympic,4,77000,https://www.nps.gov/common/uploads/grid_builder/olym/crop16_9/B78FFBA7-B378-2599-5128D730E80406CE.jpg?width=950&quality=90&mode=crop,"With its incredible range of precipitation and elevation, diversity is the hallmark of Olympic National Park. Encompassing nearly a million acres, the park protects a vast wilderness, thousands of years of human history, and several distinctly different ecosystems, including glacier-capped mountains, old-growth temperate rain forests, and over 70 miles of wild coastline. Come explore!"
1,San Juan Island,1,24999,https://images.unsplash.com/photo-1459881128886-544963e934a9?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=668&q=80,"San Juan Island is well known for splendid vistas, saltwater shore, quiet woodlands, orca whales and one of the last remaining native prairies in the Puget Sound/Northern Straits region. But it was also here in 1859 that the United States and Great Britain nearly went to war over possession of the island, the crisis ignited by the death of a pig."
2,Blue Ridge Province,50,300,https://www.nps.gov/common/uploads/stories/images/nri/20161020/articles/E982D9AD-1DD8-B71B-0BAF7CB81040A92A/E982D9AD-1DD8-B71B-0BAF7CB81040A92A.JPG,"The Blue Ridge province is a mountainous belt stretching from Pennsylvania southwest to Georgia. In the north, the Blue Ridge is as narrow as 20 km (13 mi), but increases in width and relief to the south reaching 113 km (70 mi) and peaks above 1,800 m (6,000 ft). The Blue Ridge province includes several mountain ranges, particularly the Black Mountains, which include the highest peak in the eastern United States: Mt Mitchell at 2037 m (6684 ft)."
3,Nugget Falls Trail,12,400,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F28%2F2017%2F04%2F23-mendenhall-glacier-visitor-center-juneau-alaska-BESTHIKE0407.jpg,"Nugget Falls Trail in Juneau, Alaska is an epicenter of hiking around the Mendenhall Glacier and the Tongass National Forest. The area is a nature-lover's paradise with visitors often spotting bald eagles, sockeye salmon, and black bear cubs."
4,Appalachian Trail - Shenandoah National Park,3,600,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F28%2F2017%2F04%2F20-shenandoah-national-park-virginia-BESTHIKE0407.jpg,"Shenandoah National Park in Virginia is located just 75 miles from the hustle and bustle of Washington, D.C. The park consists of 200,000 acres of protected lands that are home to deer, songbirds, and a clear, star-speckled night sky."
5,Burroughs Mountain Hike - Mount Rainier National Park,10,7950,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F28%2F2017%2F04%2F19-mount-rainier-national-park-washington-BESTHIKE0407.jpg,"Mount Rainier National Park has more than 260 miles of maintained trails that lead visitors through peaceful old-growth forest, river valleys, and subalpine meadows. Check out the Burroughs Mountain hike for stunning views of Mount Rainer and the alpine landscape."
1,Halema'uma'u Trail - Hawai'i Volcanoes National Park,5,111000,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F28%2F2017%2F04%2F18-hawaii-volcanoes-national-park-BESTHIKE0407.jpg,"Hawai'i Volcanoes National Park has several trails available to visitors, including Earthquake Trail and Waldron Ledge, which is an easy 1-mile hike that allows visitors to take in the beautiful ocean views, and the Halema'uma'u Trail, a 1-mile hike descending 425 feet at the southern edge of Kīlauea Caldera that takes visitors through a rain forest."
